Date,AAPL,AMZN,COP,CVX,GOOG,HES,INTC,ORCL,OXY,XOM
2013-05-24,15.898214340209961,13.086999893188477,62.529998779296875,125.44999694824219,,67.4800033569336,23.920000076293945,34.04999923706055,86.97281646728516,91.52999877929688
2013-05-28,15.765713691711426,13.364500045776367,62.84000015258789,126.43000030517578,,68.5199966430664,24.079999923706055,34.529998779296875,88.76438903808594,92.37999725341797
2013-05-29,15.891071319580078,13.27649974822998,62.779998779296875,125.48999786376953,,68.56999969482422,24.270000457763672,34.400001525878906,90.58470916748047,92.08000183105469
2013-05-30,16.127857208251953,13.341500282287598,62.279998779296875,125.11000061035156,,68.73999786376953,24.209999084472656,34.34000015258789,90.77632141113281,92.08999633789062
2013-05-31,16.061786651611328,13.460000038146973,61.34000015258789,122.75,,67.41000366210938,24.280000686645508,33.779998779296875,88.2087173461914,90.47000122070312
2013-06-03,16.097143173217773,13.343999862670898,62.09000015258789,124.08999633789062,,68.79000091552734,25.239999771118164,34.38999938964844,90.31645202636719,91.45999908447266
2013-06-04,16.046785354614258,13.28499984741211,61.68000030517578,122.95999908447266,,68.25,25.360000610351562,34.15999984741211,90.30686950683594,90.79000091552734
2013-06-05,15.896785736083984,13.358499526977539,61.619998931884766,121.56999969482422,,66.76000213623047,24.700000762939453,34.119998931884766,89.46377563476562,89.6500015258789
2013-06-06,15.659285545349121,13.391500473022461,61.90999984741211,120.58999633789062,,67.98999786376953,24.649999618530273,33.349998474121094,88.66858673095703,90.2300033569336
2013-06-07,15.778928756713867,13.843500137329102,62.31999969482422,121.69999694824219,,69.18000030517578,24.59000015258789,33.810001373291016,89.21467590332031,91.44999694824219
2013-06-10,15.674642562866211,14.053500175476074,62.20000076293945,122.69000244140625,,68.75,25.010000228881836,34.04999923706055,88.41948699951172,91.12000274658203
2013-06-11,15.628570556640625,13.73900032043457,61.90999984741211,121.44999694824219,,67.29000091552734,24.709999084472656,33.56999969482422,87.42310333251953,90.45999908447266
2013-06-12,15.435357093811035,13.583499908447266,60.880001068115234,119.97000122070312,,66.81999969482422,24.459999084472656,33.52000045776367,87.13568878173828,89.73999786376953
2013-06-13,15.569999694824219,13.78950023651123,61.650001525878906,121.66000366210938,,66.8499984741211,24.989999771118164,34.25,89.1380386352539,91.33000183105469
2013-06-14,15.358928680419922,13.69950008392334,61.029998779296875,120.27999877929688,,65.97000122070312,24.920000076293945,33.77000045776367,88.03626251220703,90.58000183105469
2013-06-17,15.428570747375488,13.902999877929688,61.939998626708984,121.22000122070312,,67.51000213623047,25.100000381469727,34.27000045776367,88.72606658935547,91.51000213623047
2013-06-18,15.420356750488281,14.088000297546387,62.099998474121094,121.5199966430664,,67.5199966430664,25.469999313354492,34.400001525878906,88.55361938476562,91.93000030517578
2013-06-19,15.10714340209961,13.907999992370605,61.709999084472656,120.5,,66.37999725341797,25.0,34.09000015258789,87.91171264648438,91.0
